project,username,role
,,
mQuiq,darshan,Stakeholder
mQuiq,mkrishnamurthy,Scrum Team Member
mQuiq,pnagalla,Scrum Team Member
mQuiq,plingaiah,Scrum Team Member
,,
Health Drives,darshan,Stakeholder
Health Drives,pnagalla,Scrum Team Member
Health Drives,vchaitanya,Scrum Team Member
Health Drives,ksatish,Scrum Team Member
Health Drives,hshri,Scrum Team Member
Health Drives,sphilip,Scrum Master
Health Drives,mkrishnamurthy,Scrum Team Member
,,
Q-Dash,darshan,Product Owner
Q-Dash,kvarma,Scrum Master
Q-Dash,mkrishnamurthy,Scrum Team Member
,,
iCE,mkrishnamurthy,Scrum Team Member
iCE,kvarma,Scrum Team Member
iCE,darshan,Stakeholder
,,
pList,kvarma,Scrum Team Member
pList,mark,Scrum Master
pList,darshan,Stakeholder
pList,mkrishnamurthy,Scrum Team Member
,,
FreshJets,darshan,Stakeholder
FreshJets,kvarma,Scrum Team Member
FreshJets,mkrishnamurthy,Scrum Team Member
