project,link_type,url,under_construction
mQuiq,JIRA,http://qwinix.jira.atlessian.com/mquiq,TRUE
Health Drives,JIRA,http://qwinix.jira.atlessian.com/health-drive,FALSE
iCE,JIRA,http://qwinix.jira.atlessian.com/ice,TRUE
Q-Dash,JIRA,http://qwinix.jira.atlessian.com/q-dash,FALSE
pList,JIRA,http://qwinix.jira.atlessian.com/plist,TRUE
FreshJets,JIRA,http://qwinix.jira.atlessian.com/freshjets,FALSE
Sikbug,JIRA,http://qwinix.jira.atlessian.com/unknown,TRUE
Airlife,JIRA,http://qwinix.jira.atlessian.com/unknown,TRUE
Genie,JIRA,http://qwinix.jira.atlessian.com/unknown,FALSE
Snap Gadget,JIRA,http://qwinix.jira.atlessian.com/unknown,FALSE
Infinite Buyer,JIRA,http://qwinix.jira.atlessian.com/unknown,TRUE
,,,
mQuiq,UX / UI,http://ux.6kites.com/mquiq_creative/,TRUE
Health Drives,UX / UI,http://ux.qwinixtech.com/unknown,FALSE
iCE,UX / UI,http://ux.qwinixtech.com/unknown,TRUE
Q-Dash,UX / UI,http://ux.qwinixtech.com/unknown,FALSE
pList,UX / UI,http://ux.qwinixtech.com/unknown,TRUE
FreshJets,UX / UI,http://ux.qwinixtech.com/unknown,FALSE
Sikbug,UX / UI,http://ux.qwinixtech.com/unknown,TRUE
Airlife,UX / UI,http://ux.qwinixtech.com/unknown,TRUE
Genie,UX / UI,http://ux.qwinixtech.com/unknown,FALSE
Snap Gadget,UX / UI,http://ux.qwinixtech.com/unknown,FALSE
Infinite Buyer,UX / UI,http://ux.qwinixtech.com/unknown,TRUE
,,,
mQuiq,Source Code,https://github.com/6kites/mquiq,FALSE
mQuiq,Gotomeeting,https://global.gotomeeting.com/meeting/join/698475037,FALSE
mQuiq,QA,https://dev.mquiq.com/,FALSE
mQuiq,UAT,http://uat.mquiq.com/,FALSE
mQuiq,Live,http://secure.mquiq.com/,FALSE
